Time [Sec],Roll Angle [Deg],Pitch Angle [Deg],Phase Angle,Angular Velocity X [deg/s],Angular Velocity Y [deg/s],Angular Velocity Z [deg/s],EKF Roll Angle [Deg],Step Frequency [Hz],Phase Variable
0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.4,0.07895683520871487
0.0,-149.01846313476562,-44.5657958984375,3.1330576092769533,-45.86116174807805,161.24459241604646,-72.8750790098554,-147.557355982391,0.40091482402970324,0.17597157295699245
0.008998,-149.6133270263672,-47.5008430480957,3.134618709785074,-33.92579207916887,101.38541558670167,-59.78309535218002,-50.88971299307706,0.40244691915139896,0.2853513327030548
0.019856,-150.24705505371094,-45.626304626464844,3.1364512303892886,-22.925582883113865,47.66903768929955,-44.26044544438303,-149.02943350095208,0.40409982865209404,0.39741829615760904
0.029614,-150.97335815429688,-45.149879455566406,3.1364756342850844,-24.00205655480102,-16.7724430447678,-44.26330046345609,-126.36742904150053,0.4063643633712798,0.5218845287662831
0.039888,-152.16725158691406,-44.3036003112793,3.1360244556588857,-19.808981225215387,-57.46822129905763,-48.54706533729386,-150.1093972470258,0.40970962597766886,0.6681304760354188
0.049725,-153.2397918701172,-43.580657958984375,3.1353980538221315,-13.644530593603779,-70.08453692255499,-54.389240323107586,-151.93452789032105,0.41461562896721976,0.8458445319846345
0.059917000000000005,-154.19473266601562,-43.09617614746094,3.1347440373016138,-11.108085203806185,-73.07779902442138,-60.50646702679773,-152.51577810447387,0.4214307274317909,1.0622110283125175
0.069914,-155.1283721923828,-42.763065338134766,3.134294668993418,-10.3764737597285,-66.05014225531438,-64.86710567974399,-153.45099802543078,0.42995314082994496,1.3136238171214685
0.079521,-156.00650024414062,-42.61874008178711,3.133961748264805,-11.48893996702068,-54.19548151673266,-68.21027837279013,-150.15520583443683,0.4397538649806705,1.5919517057651442
0.089909,-156.83889770507812,-42.633201599121094,3.13399376381405,-13.706830456570758,-39.68039720963386,-68.28651011411664,-154.53419455698193,0.44997713215949997,1.8805548448727065
0.099373,-157.5636749267578,-42.82078170776367,3.1343764445542894,-15.647570652621937,-19.528147752206557,-65.14714343571451,-156.0960154296546,0.45932187652650475,2.153834630815016
0.109645,-158.17391967773438,-43.18956756591797,3.1347005104586567,-17.302544271536245,-2.224262629158877,-62.4624009786576,-156.3274024475348,0.4670022735990406,2.396106096595096
0.1199,-158.74038696289062,-43.66504669189453,3.1349008578696536,-18.22184504513765,13.267446094811131,-60.8638225241728,-145.99021040528345,0.47296445297749257,2.605977354159041
0.129657,-159.25059509277344,-44.23734664916992,3.1350608750931555,-16.832415520775097,26.151097029970074,-59.59932228237165,-157.91357485171773,0.47732936021009953,2.7854966103589187
0.140016,-159.70848083496094,-44.84137725830078,3.1350979168114788,-14.61917126740792,32.63474630715847,-59.431716270328714,-158.23641635227767,0.48027911043118887,2.93794338497325
0.149568,-160.173828125,-45.418819427490234,3.135135954786238,-14.040056603155463,36.42978724021973,-59.25578425768752,-120.2336656247158,0.48195188748860224,3.065765977030285
0.159676,-160.6472930908203,-45.99801254272461,3.1351580912558132,-13.060582716739894,39.96574202258949,-59.22717942544351,-159.52013521825245,0.48256152348031306,3.172933198561404
0.169764,-161.1337890625,-46.55487823486328,3.1349719097744213,-11.441538454180792,37.792771979663286,-61.125493901465155,-112.1368945885554,0.4823069976967765,3.263162887693391
0.179739,-161.6922149658203,-47.024139404296875,3.1347708861706947,-11.539916230117425,33.584251884816965,-63.19975405050633,-159.60763396481113,0.48131033790837807,3.338693197368346
0.189896,-162.31277465820312,-47.42100524902344,3.134555265260724,-10.6262008437098,28.082281791372406,-65.44764443843839,-160.9286626466521,0.47967857599706426,3.401490360871686
0.199669,-162.96261596679688,-47.74602127075195,3.1343012181640315,-8.987073263669922,21.881199147694726,-68.08185032582638,-64.97150704847878,0.47749694212639143,3.453111390063948
