Time [Sec],Roll Angle [Deg],Pitch Angle [Deg],Phase Angle,Angular Velocity X [deg/s],Angular Velocity Y [deg/s],Angular Velocity Z [deg/s],EKF Roll Angle [Deg],Step Frequency [Hz],Phase Variable
0.0,-105.56875610351562,4.747167110443115,-3.1065704742824316,26.236691253101384,33.643934077784536,211.92335296311214,-104.52352089456994,0.4,0.025132741228718346
0.003648,-105.40091705322266,8.7946195602417,-3.1039035138912325,10.810861838110263,36.66708167236432,227.7135891920227,-103.0363205001439,0.39914833053971266,0.04491428541798555
0.040051,-105.93095397949219,8.928082466125488,-3.1043146890709923,16.193143965407753,39.46796125097354,226.3596134720944,-64.24436291311106,0.39774164917070465,0.06115507496667516
0.043806,-105.84772491455078,10.932110786437988,-3.105493251527576,18.534333029854903,30.816526044438984,219.02459136014767,-105.3516212950037,0.3960295741827543,0.07538863541882337
0.047345,-105.8553466796875,12.834349632263184,-3.106557842110593,14.518246684684518,35.80788485591173,212.5753764816599,-104.97776007319315,0.39414017961045533,0.08840049121982653
0.051249,-106.0853500366211,14.590132713317871,-3.1084901557387377,3.4150952253366103,37.42964497243956,201.27854412278228,-103.66212362312513,0.3922324589116961,0.10117848641015577
0.079569,-106.47355651855469,16.312063217163086,-3.1088944493994606,-5.6631809139902565,27.754548824427683,199.54603931905186,-105.31857630831782,0.39022051598120744,0.11318176837875452
0.081748,-106.85076904296875,18.122766494750977,-3.111038437604951,-15.425415334772687,-3.170310636993462,187.11413880314487,-105.6978933162661,0.3883386379653487,0.12587585820533795
0.083895,-107.10576629638672,19.832216262817383,-3.113546589678129,-18.532055161766703,-32.338141927356084,172.15565569060175,-105.3836026738566,0.3866732005263372,0.13981164240125452
0.085999,-107.18940734863281,21.48082160949707,-3.1151443852674965,-16.53046481039988,-52.47014841163077,162.4699420135251,-102.99480372426444,0.3851410295152019,0.1544801217382745
0.119772,-107.15919494628906,23.162050247192383,-3.115694419140804,-13.727192958033859,-66.18306456675201,159.04475240892543,-104.60452897559276,0.3836133080665985,0.16908028935736577
0.122405,-107.08606719970703,24.872957229614258,-3.116270692093076,-12.500168256661286,-74.15654544155485,155.39812807143397,-60.164349553959916,0.3821085148812936,0.18372852993394004
0.125095,-107.053466796875,26.541759490966797,-3.1169548701212073,-17.468352236280182,-80.07922103692634,151.1516492002753,-92.86754769416824,0.38065206161906406,0.19858595026060932
0.127676,-107.08033752441406,28.19660758972168,-3.1174422551700784,-22.417968346640397,-88.70128984512444,148.19757872386646,-106.60843252929169,0.379207508313659,0.2134266285637758
0.159958,-107.03858184814453,29.884904861450195,-3.1176827955951913,-23.81251709778587,-98.2016458485053,146.66373680233502,-101.82780934622888,0.377727882682688,0.22795617698521828
0.163005,-106.87646484375,31.582265853881836,-3.118137743396327,-23.307207750157282,-106.18300193142116,143.65413688797395,-104.80027035890386,0.37626601254142533,0.24250431881847148
0.165582,-106.66956329345703,33.194820404052734,-3.1193564818364665,-26.840339956852524,-109.72884682770909,135.92356486081346,-104.85069336729244,0.37499907968508295,0.2581854357262311
0.16803,-106.60580444335938,34.601314544677734,-3.1215883492433103,-37.145915499222646,-104.15412838941472,122.20384583727888,-100.82334346888607,0.3741582698507496,0.27646435880584763
0.199665,-106.75917053222656,35.683189392089844,-3.125011249643121,-42.897669025709156,-88.55296545710844,101.43525547707526,-105.20993092773766,0.3740292207565608,0.2991625768701954
0.201881,-107.00116729736328,36.342681884765625,-3.1295519997562473,-42.73458801399135,-66.80687940402761,73.82138805898232,-105.61688749251519,0.3749126167115422,0.3282140663980906
0.203988,-107.2867660522461,36.5340690612793,-3.134841994139345,-39.15706128523831,-40.89129754192333,41.49746658547821,-68.78459896475303,0.3770444490271417,0.36516521832881793
0.206048,-107.5231704711914,36.28559875488281,-3.1402237716135275,-27.22502133354952,-18.480787761856586,8.433172242738568,-106.9927115279663,0.38048308859013036,0.41046122933048435
