Time [Sec],Roll Angle [Deg],Pitch Angle [Deg],Phase Angle,Angular Velocity X [deg/s],Angular Velocity Y [deg/s],Angular Velocity Z [deg/s],EKF Roll Angle [Deg],Step Frequency [Hz],Phase Variable
0.0,-105.86019897460938,10.822896003723145,3.136590023152261,1.444427701663375,27.042767980831485,-30.3429207273903,-104.81207819268256,0.4,0.025132741228718346
0.003176,-105.95382690429688,10.13877010345459,3.137327078751915,-4.521593341398081,26.148962595854446,-25.89521253045201,-100.2233108893265,0.40009510965553313,0.05086307404765357
0.040849,-106.19681549072266,10.309928894042969,3.1378721843139905,-10.97378404792987,24.289354801859265,-22.63778090960433,-105.24199752888231,0.400247975406617,0.07696227503345518
0.045574,-106.4376220703125,10.099222183227539,3.138407951868947,-15.140268597302995,21.969090021934452,-19.421735112485052,-104.45979326332193,0.40042450683047043,0.1032197766650991
0.049893,-106.65603637695312,9.919360160827637,3.138762669834185,-15.818053881852748,18.462846562454256,-17.293909204878055,-85.62554274060842,0.40061161688202457,0.129554837571368
0.054059,-106.81488800048828,9.752257347106934,3.1389556833359182,-14.113809839586906,15.356659235492753,-16.13840682939927,-104.44181363903246,0.40080966924704237,0.15597040753208607
0.080359,-106.9345932006836,9.574051856994629,3.1388806279941126,-12.836370658176824,13.977494631679086,-16.616352731665497,-96.22554744243382,0.4010487687789989,0.18265632844611457
0.083292,-107.03318786621094,9.355973243713379,3.1385457922282156,-10.26424692147602,13.761956913361931,-18.68508725766813,-105.06068505463051,0.4013772428688297,0.2099188293356752
0.086135,-107.08403778076172,9.07917594909668,3.1378513646131743,-6.947612074676318,13.509221131051243,-22.954648753126854,-105.93053918979473,0.4018816046467275,0.2383071037983625
0.088944,-107.0992202758789,8.734491348266602,3.137055523869478,-4.487396718657942,13.58098507488692,-27.841531283507795,-95.70383316834904,0.4026138198364821,0.2681587134557431
0.120633,-107.10039520263672,8.334819793701172,3.136245156403548,-2.422992105702275,13.775181013368723,-32.81469788612622,-106.15322686512819,0.40361177294899453,0.2997260101621756
0.124006,-107.09333038330078,7.890969753265381,3.1355428954875078,-1.3029465228654962,14.385186061916208,-37.12174345974997,-105.68447994157694,0.4048812650665745,0.3330621399989128
0.127355,-107.09188079833984,7.416011810302734,3.134930473586321,-0.9818419343451543,14.478465955411071,-40.879160295768216,-106.10000690503493,0.4064286341148482,0.3682239866259965
0.130662,-107.10034942626953,6.911539554595947,3.1342769884106154,-1.4710133592340033,13.747172115129793,-44.892634093581066,-105.0242451600944,0.4083025909926789,0.4055350691699453
0.16111099999999998,-107.12173461914062,6.369307518005371,3.1335762188795124,-2.3375758943762115,12.549715302674205,-49.20291034668224,-15.642905008602417,0.410562688150515,0.44539008683094483
0.164961,-107.14189910888672,5.791358947753906,3.132890078488729,-2.2111537885943298,10.467764360627598,-53.424530744356645,-106.90896713520168,0.4132527320826147,0.48808854583941613
0.16907,-107.12483215332031,5.187141418457031,3.1323034273382007,0.2703165558321699,8.889220558525734,-57.017059983621614,-106.1973276272723,0.4163825157323151,0.5337189914255979
0.172293,-107.04155731201172,4.553345203399658,3.1317820607118203,4.766844090152082,10.192665685200641,-60.17058564417318,-97.46107231063569,0.4199748807893071,0.5824525718198728
