Time [Sec],Roll Angle [Deg],Pitch Angle [Deg],Phase Angle,Angular Velocity X [deg/s],Angular Velocity Y [deg/s],Angular Velocity Z [deg/s],EKF Roll Angle [Deg],Step Frequency [Hz],Phase Variable
0.0,-100.70378875732422,-13.056341171264648,3.1324356787211634,-10.242976004853308,-2.2285498535235293,-52.8363250983189,-99.70672154190518,0.4,0.025132741228718346
0.002317,-100.93569946289062,-14.074026107788086,3.1327159709671712,-7.922640361715856,-0.37773211278375723,-51.33688683963683,-98.79870380260348,0.4001905939712887,0.051463019697474646
0.041115,-100.83625793457031,-14.054036140441895,3.1328406209365194,-8.727132485558515,5.240054110002552,-50.56608974651714,-89.276034396427,0.40054762920249115,0.07885105481743007
0.044274,-100.94290924072266,-14.570784568786621,3.1329495953020596,-12.067898390695873,12.323444795850023,-49.98925978054205,-100.12421165851585,0.401050681016318,0.10717897236912413
0.04716,-101.10057067871094,-15.078607559204102,3.133208518338904,-15.117396001319914,12.444710535695368,-48.56738173498006,-99.99572821627247,0.40166633530811247,0.13624599983358981
0.049171,-101.29104614257812,-15.552190780639648,3.1333188063122472,-16.005279612286554,8.529045046797098,-48.01877752575005,-100.26298823819567,0.40239042430161603,0.1660330253226282
0.080889,-101.47836303710938,-15.999295234680176,3.133630907814213,-15.37183420828123,3.3201967904518646,-46.292812628149925,-58.43857681535041,0.403180055304796,0.19627735925711864
0.083755,-101.6318130493164,-16.420597076416016,3.1339011868183033,-13.672692317325389,4.986128167228988,-44.78886302952107,-100.59879478625503,0.404024484617773,0.226915615105757
0.086492,-101.7226333618164,-16.858518600463867,3.1340804069552504,-11.92029288009002,10.4087148139319,-43.78428222149017,-52.644119226134606,0.404930303548888,0.2579926503596154
0.089223,-101.77327728271484,-17.304790496826172,3.1343111986654772,-10.423537178204473,14.815199404134578,-42.460219315031935,-91.89574192272156,0.4058814439568494,0.289411363132885
0.119703,-101.810302734375,-17.735017776489258,3.1346146169920326,-9.680217082342095,17.901514295705926,-40.70564617009321,-100.96056806443379,0.4068563651913171,0.32103925716021536
