Time [Sec],Roll Angle [Deg],Pitch Angle [Deg],Phase Angle,Angular Velocity X [deg/s],Angular Velocity Y [deg/s],Angular Velocity Z [deg/s],EKF Roll Angle [Deg],Step Frequency [Hz],Phase Variable
0.0,-104.63638305664062,1.0998287200927734,3.1380241328180367,-13.868176600239385,-59.46059431013953,-21.39416909383238,-103.60037926400062,0.4,0.025132741228718346
0.002301,-104.90252685546875,0.9735332131385803,3.1381672867565595,-15.092260905174268,-50.15752149074532,-20.588152130257516,-103.86935746762889,0.40007637876238605,0.05074538437504118
0.039909,-104.96040344238281,0.9187630414962769,3.1379799131312507,-16.65505258350279,-35.21700860590852,-21.726350221474075,-103.94344967962124,0.40022913938080457,0.07684274789609863
0.042401,-105.16173553466797,0.6759670376777649,3.1372512147494622,-18.73479737444748,-22.493544389806587,-26.158738304104027,-103.54905278254816,0.4004989775470353,0.10368532957810163
0.044269,-105.36997985839844,0.3443067967891693,3.136534910441454,-18.787324944259467,-14.492324409237028,-30.535146156296555,-103.80692406644302,0.4009110645906743,0.1314386417486133
0.046221,-105.55587005615234,-0.028949759900569916,3.1361399104032395,-18.54350597391023,-2.854319619005638,-32.97800429408664,-18.95190407426535,0.4014507655719952,0.16001966812993748
0.079841,-105.72417449951172,-0.44036203622817993,3.135878873221923,-17.077919840302034,8.863778957641083,-34.61188116620207,-97.77283792740984,0.40210877539729717,0.18937796131423412
0.083486,-105.85115814208984,-0.8846214413642883,3.135525642407157,-14.314894023846668,15.873472329230939,-36.795810247651545,-105.33710087849838,0.40290789520581266,0.2196642186484177
0.087088,-105.93699645996094,-1.3553060293197632,3.13516772938167,-11.666891154335254,20.34766799977054,-38.9981740096709,-105.07926557801377,0.40386145306271,0.25097104903745904
0.090299,-106.00151062011719,-1.8537671566009521,3.1347742397002083,-9.607331279935241,24.352250598831326,-41.411863824610435,-104.00991807276415,0.40499302263216685,0.2834562738105199
0.119568,-106.05502319335938,-2.3760790824890137,3.134492162586276,-8.111153582808207,26.6022122416292,-43.14689579833375,-104.03026336314903,0.40629226372055316,0.3170661084206797
0.12168,-106.100341796875,-2.9009041786193848,3.1341876862169173,-6.745518303079865,25.053355856754795,-45.01637321567961,-104.41926037742908,0.40778343187559185,0.3519634900812503
0.123734,-106.13336944580078,-3.4123613834381104,3.134125287476152,-5.200416387814852,22.14718549699524,-45.40985358357487,-104.97181059752457,0.4094081067262516,0.38779341190857985
0.125807,-106.14656829833984,-3.884162664413452,3.1342660672970664,-3.1279372105997605,17.283826138115824,-44.55926622057108,-34.897019749911465,0.4111049241234785,0.42417870005602865
0.160185,-106.1587905883789,-4.3066534996032715,3.1344120007985286,-2.9275336973794746,8.882864213729391,-43.676716987346225,-97.72982002427445,0.41287778550509435,0.46114840083028175
0.163642,-106.20860290527344,-4.685330390930176,3.134623306960836,-3.9898007890364116,1.20812450072209,-42.411284424723384,-105.26969056446383,0.4147080488510517,0.4985901609493348
0.167152,-106.29844665527344,-5.019891262054443,3.134954501063661,-6.043770153600769,-7.035196017290215,-40.429945584245644,-105.19910605615766,0.41654810557016264,0.53620845348433
0.169778,-106.42149353027344,-5.295119285583496,3.1354970399984947,-7.716296078021539,-13.759743932070847,-37.168479029145786,-102.94746974310371,0.4182951035547338,0.5733576549191792
0.20004,-106.55889892578125,-5.515933990478516,3.1360623273709907,-9.224359158078041,-18.332347260624697,-33.76506065252554,-105.51332286743929,0.4199267251568251,0.6098916922835187
0.2036,-106.71078491210938,-5.703218460083008,3.136653564465905,-10.889389376771547,-19.444498425441413,-30.198219754728996,-97.94747487258911,0.4214156612852024,0.6456317281846422
0.207026,-106.85394287109375,-5.8739142417907715,3.1372660481530334,-10.556711352867735,-15.463227262017877,-26.488855007069084,-104.645037550831,0.422732731651427,0.6803854522702512
0.210751,-106.96147155761719,-6.033522605895996,3.1379250930626825,-10.008903714449678,-10.509620613635082,-22.476528681036793,-105.95355542146841,0.42382901054698746,0.7138346566031692
0.23969,-107.05435180664062,-6.175803184509277,3.1385032876189776,-9.525258873094723,-4.780452388299686,-18.949497540817664,-105.82081418065336,0.42473297755258954,0.7461444109291965
0.241791,-107.12957000732422,-6.312373161315918,3.139084810475889,-8.630886582416572,2.531451027410435,-15.393354426808648,-106.05648866767669,0.4254208492116731,0.7771531960711062
0.243878,-107.18801879882812,-6.445878028869629,3.139603288151039,-8.475990698645377,10.304871179111965,-12.217546981637206,-102.44701325614746,0.4259135656038627,0.8069790047584645
0.245954,-107.2497787475586,-6.575421333312988,3.140060932716814,-8.890521709562622,16.298965793766055,-9.412370360266397,-89.54164335340167,0.42623352634704537,0.835750315974211
0.280199,-107.32687377929688,-6.683872699737549,3.140517355558481,-10.06313541645958,18.706347929007087,-6.612415418516065,-105.504853051541,0.42636233985577165,0.8633407174213173
0.283944,-107.43525695800781,-6.747093200683594,3.1410078845844454,-11.94668899991118,16.628561694806894,-3.5995967775086375,-1.2676261661020485,0.4262560201011321,0.889461826594268
0.287219,-107.55547332763672,-6.761111259460449,3.141369802100961,-11.534679182571317,12.358922505946362,-1.3733166812236681,-107.31918641676646,0.42599530598385005,0.9146061671091497
0.290651,-107.63963317871094,-6.748331546783447,-3.1415574822814367,-9.542544374336732,8.231201841433998,0.21691189368122202,-105.84792219598164,0.4256457549178017,0.9391759474616977
0.320335,-107.68451690673828,-6.71994161605835,-3.141392297908595,-6.784620282304542,4.216628383164773,1.2361681902371047,-85.84152658791265,0.4252664806604615,0.9635370085542154
0.324238,-107.68853759765625,-6.6861419677734375,-3.1413123605089015,-3.2444894795875623,2.1590116975836295,1.7294360210806687,-106.72467902404425,0.42491144740843645,0.9880265498707487
0.32819,-107.64157104492188,-6.654971599578857,-3.1411203594650736,0.699016660780473,3.216240670954036,2.9128306479739643,-106.15796933724452,0.4244728936139067,1.0119690087446427
0.332087,-107.56710052490234,-6.608680725097656,-3.1408015302400054,2.5619083350234026,3.535637392016757,4.875805671094472,-105.58407852271769,0.4238328796347634,1.0346181007990092
0.359784,-107.51811981201172,-6.5445756912231445,-3.140770600045496,2.373693721263827,1.4937943879935232,5.064125939342771,-105.05298701073029,0.42322762287514815,1.0574453656401313
0.361911,-107.50745391845703,-6.489202499389648,-3.1409340938757446,1.335611582405965,-2.007499318772529,4.056546251379422,-106.47070028794943,0.42280848787752423,1.0814040385977526
0.364205,-107.51856994628906,-6.444872856140137,-3.141142728368044,0.5405134232713059,-4.695861776089548,2.771701650805164,-14.83994838308277,0.42259286489084913,1.1066150802038144
0.366343,-107.52239990234375,-6.407100677490234,-3.1412936513296934,1.2343968233645441,-7.10852065935124,1.842027313958392,-107.23007167790031,0.4225068723426967,1.1326270658847466
0.400422,-107.50875091552734,-6.366386890411377,-3.1413912253325136,1.6790207939912178,-9.110983140497707,1.2407573303074126,-104.86759074937966,0.4224831968139124,1.15902519787501
0.404054,-107.48860931396484,-6.320868968963623,-3.141413635238469,2.6642973529935365,-10.479410686936117,1.102510246081535,-103.0871197883991,0.4224387016839118,1.1852910288754637
0.40635,-107.42743682861328,-6.279210567474365,-3.141296476659956,5.632932140590386,-6.051655180110725,1.8230101463183723,-105.34767404300416,0.42223775339626474,1.2105710399830605
0.408287,-107.2851333618164,-6.251039028167725,-3.140894724653853,10.038235108066653,3.273785014711393,4.290159638448191,-105.99947743419312,0.4216225047939126,1.2332352994872584
0.439618,-107.07400512695312,-6.225838661193848,-3.1405929633393455,14.016121912756446,11.070750536029248,6.132990353407706,-104.9290969627788,0.42071052315043517,1.2539964730975173
0.443439,-106.81941986083984,-6.195650577545166,-3.1401262456118006,18.086646573159122,18.517800556968886,8.974866008075816,-105.44286201452414,0.41936966549665944,1.2720056377646407
0.448235,-106.525390625,-6.139425754547119,-3.1395028143817587,21.02870616191251,26.26881363276795,12.755258746688337,-72.17678774492207,0.41748894663934666,1.2865385058786913
0.45167,-106.19977569580078,-6.035656929016113,-3.1388746268963352,25.22085429331831,25.904021766934033,16.538686650613283,-103.3040736974926,0.41511136176955843,1.2978313037126075
0.479395,-105.81983184814453,-5.847552299499512,-3.1381220801795338,30.77356073946502,20.39634675798522,21.04227433269874,-102.40161793186955,0.41216868866281975,1.3054241593756524
0.481967,-105.33834075927734,-5.557170867919922,-3.1370614318064365,40.66600375215046,13.81317564817421,27.34811500277149,-101.96869666861075,0.4084343744976235,1.3078580939673556
0.484032,-104.70864868164062,-5.147202014923096,-3.135540910262736,51.471796736122926,9.912311179207359,36.30705215592919,-98.87920722236012,0.40357472090592067,1.3078580939673556
0.486078,-103.98196411132812,-4.5839691162109375,-3.1333661314030268,60.136830849294974,6.246843203569472,49.012484672622286,-103.03340215469719,0.3971026104664819,1.3078580939673556
0.520445,-103.17819213867188,-3.83195424079895,-3.1309651247978008,70.36469762193057,-0.5536358174924871,62.82886111819629,-102.13434221635357,0.38896017989808046,1.3078580939673556
0.523973,-102.27527618408203,-2.920449733734131,-3.1286016770334655,79.22615773034843,-4.401825547415084,76.13064769660696,-99.3910532964627,0.3793434362806906,1.3078580939673556
0.526552,-101.33927154541016,-1.8901281356811523,-3.1261956331981127,83.75539960295646,-3.7651503177059915,89.40697815998098,-97.24002877838207,0.3683594937471802,1.3078580939673556
0.528636,-100.47228240966797,-0.7631989121437073,-3.1240088494185674,81.02593989740348,2.4969459789405883,101.23402444374834,-99.00520171489516,0.35632678925582034,1.3078580939673556
0.559814,-99.72664642333984,0.4183836281299591,-3.122314923795326,76.40024209333653,8.659949891108623,110.16497489678191,-97.83518854112674,0.34376382222175667,1.3078580939673556
0.563482,-99.03765106201172,1.6088098287582397,-3.1214795335730865,73.40458259507146,12.594964452151894,114.1460735979289,-96.41954082721992,0.33146842828931466,1.3078580939673556
0.566869,-98.3768539428711,2.7611958980560303,-3.12129105992457,69.64341598519889,13.001190806812048,114.44725078938062,-96.54408387306562,0.31998742555807663,1.3078580939673556
0.570247,-97.77543640136719,3.8817992210388184,-3.1212684555562267,64.89993156889507,12.254771512613775,113.87427305009741,-96.88066691403411,0.30939815102083984,1.3078580939673556
0.599139,-97.23458862304688,4.9748992919921875,-3.121492154188756,60.45269294746222,15.595731224368832,111.99761027374471,-96.2118865860871,0.29983854035454094,1.3078580939673556
0.601333,-96.74103546142578,6.008977890014648,-3.122024993380332,56.62804655944354,21.863748014365346,108.47450990739293,-94.70521911139394,0.2914895496163462,1.3078580939673556
0.603411,-96.35200500488281,6.987081050872803,-3.1224117850118316,47.559392662553336,33.218310839655196,105.90218553388526,-95.27796445502372,0.28412031553731454,1.3078580939673556
0.605405,-96.10002136230469,7.962350368499756,-3.122433980863107,40.86593704953507,36.71451733615005,105.50296780708717,-94.31688248487508,0.277328281563689,1.3078580939673556
0.639141,-95.87129211425781,8.962557792663574,-3.122625646157638,35.732619586352776,32.751218107980115,104.19865439261403,-94.80393618236046,0.27121214319082654,1.3078580939673556
0.641202,-95.62718200683594,9.958280563354492,-3.1228738489524837,33.788751163661736,22.723397330850442,102.57294642674594,-2.9516149272367307,0.26577398120284385,1.3078580939673556
0.643145,-95.3514175415039,10.957489013671875,-3.123060274460716,31.01502158700331,10.628406141038067,101.25831259643691,-95.12050812011108,0.2609185298682772,1.3078580939673556
0.645062,-95.09717559814453,11.938751220703125,-3.123620288859326,27.19378517092776,-0.08890034151449759,97.9359719803593,-93.6603138896984,0.25691355357476975,1.3078580939673556
0.679239,-94.86911010742188,12.8727388381958,-3.124170131118947,23.90999926516759,-7.751784033401632,94.71143967319628,-94.00271668877708,0.2536844874133269,1.3078580939673556
0.68135,-94.67664337158203,13.766419410705566,-3.1249022589736786,19.004601799494033,-12.242544620225805,90.54665669470013,-91.82380653575007,0.2513215199661301,1.3089505980615332
0.683381,-94.55103302001953,14.575037956237793,-3.126256179519715,13.54341903445185,-14.866154322890166,83.08994793250045,-93.34124353265956,0.2502661181077934,1.3181103094283542
0.685431,-94.46419525146484,15.265538215637207,-3.1278003829250296,9.864715005976125,-16.134781706497286,74.65401543956357,-93.55640470821677,0.25054545759093033,1.3355901351263126
0.719556,-94.39929962158203,15.859450340270996,-3.1293601884668747,5.963868893142667,-15.608911781919664,66.16480747110056,-92.73519469864213,0.25201432778895444,1.360561554151851
0.723153,-94.38223266601562,16.352558135986328,-3.131137689341657,2.414983922343847,-12.492767746695577,56.53940777948969,-93.50925887264172,0.2546550965702773,1.3929885209739403
0.726409,-94.39739990234375,16.74470329284668,-3.13271983085328,0.017064850780253316,-9.913111165113897,47.99056542938332,-93.13594674897536,0.2580320949118677,1.4302072789478786
0.728476,-94.43436431884766,17.068645477294922,-3.1341411414095806,-2.6889443040569394,-6.715583291494991,40.31857251963942,-52.4419380862679,0.26173354498502976,1.4696768103381397
0.759872,-94.50149536132812,17.32474708557129,-3.13551607297705,-4.680307727802136,-4.426289150587954,32.902274571664115,-93.96921461570001,0.2654909422726526,1.5097304374114273
0.763804,-94.5810775756836,17.51885414123535,-3.136713599775686,-6.902019708192836,-3.939016625010074,26.440273579050075,-93.11349842758486,0.2689961712272822,1.5484357283542245
0.767214,-94.67543029785156,17.665395736694336,-3.1378012496538115,-8.993998221714667,-4.477875434954945,20.56657897776403,-93.81345650795441,0.2721133028602541,1.5849227719384864
0.770486,-94.77896881103516,17.7537784576416,-3.139008370068843,-10.754265183100246,-5.210454204573832,14.033814664027718,-93.64663559086351,0.27498984192649223,1.6200939829991985
0.7992999999999999,-94.89535522460938,17.765432357788086,-3.1403123415607994,-12.818412383301567,-5.743614075429973,6.961192625180419,-93.39744510948536,0.27775851092060905,1.6547681646876387
0.80139,-95.03365325927734,17.689411163330078,3.1413528650764153,-15.064072714469624,-6.293081876703166,-1.3056550130365236,-90.87607132584165,0.28065301572130885,1.6904069566705608
0.803429,-95.19560241699219,17.508615493774414,3.139643439663302,-17.634194351969967,-6.56864030923863,-10.631623160137142,-93.9861517465553,0.2838548236349375,1.7281584581578417
0.805489,-95.39407348632812,17.220935821533203,3.1379075316266865,-20.769088964013033,-5.300296378482065,-20.141780484976966,-88.32863141481086,0.2873970452809361,1.7682500177311047
0.839551,-95.65254974365234,16.831262588500977,3.1361669524757194,-25.033821515728558,-2.0866055025225587,-29.7357783818787,-93.33594026309862,0.2913319235319497,1.8110312758657736
0.843406,-95.98417663574219,16.34048080444336,3.134464971333698,-29.758929308070456,1.9268776868004025,-39.19926843921441,-95.13407456549544,0.2957158600615676,1.8568812860707595
0.845668,-96.38834381103516,15.74906063079834,3.1327709744402075,-35.11905686302136,7.4854211699231215,-48.72026868936163,-87.37937571095242,0.3006761625001918,1.9066281609426785
0.847606,-96.87162017822266,15.054265975952148,3.1311158305483198,-40.8895729191579,13.178375305392287,-58.15200519724595,-94.8513519299444,0.3063516090374684,1.9611800837017817
0.880088,-97.36842346191406,14.262506484985352,3.1294930151278777,-41.688220108618324,15.953395787803842,-67.50475398247366,-93.6624962959751,0.31291561805225704,2.0216716079870465
0.883687,-97.76136016845703,13.39314079284668,3.1280835048857982,-37.70824497358979,15.596485960272119,-75.67357826753887,-96.23699130064564,0.3203990465618955,2.088352444183465
0.88709,-98.07281494140625,12.454928398132324,3.1268190381774,-33.77036087932147,23.482972423163805,-83.02132502190933,-96.59216230375158,0.3288758651658927,2.161745132105647
0.890641,-98.43363189697266,11.401368141174316,3.1253317289448646,-33.58950088519412,41.21012394219035,-91.71696179765763,-95.1912505330882,0.33861584989066357,2.243607141059444
