Time [Sec],Roll Angle [Deg],Pitch Angle [Deg],Phase Angle,Angular Velocity X [deg/s],Angular Velocity Y [deg/s],Angular Velocity Z [deg/s],EKF Roll Angle [Deg],Step Frequency [Hz],Phase Variable
0.0,-102.63911437988281,13.704703330993652,3.130974376159811,-23.25519756717493,-27.487720654311964,-62.44618610956799,-101.62288552463646,0.4,0.025132741228718346
0.002289,-102.8835678100586,12.607255935668945,3.1310758351038563,-20.111148794096753,-25.01723781642377,-61.99676649237032,-98.33873274872546,0.4002305495552291,0.05171406803542879
0.040184,-102.77620697021484,12.600677490234375,3.131620904016216,-15.092320669329505,-21.2221302890181,-58.72201863442937,-99.66648210203527,0.40064526510437287,0.07946702976496611
0.043228,-102.76382446289062,12.13902759552002,3.1325304223221737,-8.987327688216505,-15.987043007202619,-53.35927511702634,-101.88391924321562,0.40117206320233906,0.10795028426490622
0.045266,-102.75706481933594,11.768261909484863,3.1342111297150037,-7.449342403179822,-5.65523996530647,-43.45985165100915,-101.16277609978808,0.401672668053703,0.13630206144333723
0.047374,-102.88780212402344,11.512605667114258,3.1361167388759146,-12.307485205080642,6.747522963601264,-32.28104154589478,-94.86323863076127,0.4020282149842075,0.16377386675520272
0.079866,-103.1905288696289,11.337936401367188,3.137952169018489,-19.4572111150341,20.702731968679068,-21.524029772974544,-100.4451671279928,0.402161620498012,0.18987225605404004
0.082792,-103.59062957763672,11.189011573791504,3.1390515488020654,-24.12751176192852,32.528847639172014,-15.082266630871246,-102.28854254218696,0.40213320366730865,0.2149622676911347
0.085316,-103.99880981445312,11.005266189575195,3.1395669746271,-26.156617530366738,42.59368804160316,-12.070415315405022,-102.11898893485456,0.40202832969174507,0.23957009943688276
0.088066,-104.37303924560547,10.781925201416016,3.139865593913377,-24.235792458388026,52.386973783012934,-10.328059671344157,-103.151623286653,0.4018874205445158,0.26394492609525616
0.120076,-104.68772888183594,10.531022071838379,3.1400727668281805,-20.78636592751858,62.18586027954212,-9.116538645613867,-86.05418909612031,0.4017327124749175,0.28822419798451
0.122978,-104.93961334228516,10.26273250579834,3.140171122976751,-15.36817151933881,67.8804963490944,-8.547096382999795,-104.26935230699408,0.40159612573072856,0.31260760892462475
0.126386,-105.10761260986328,10.00125789642334,3.140157230442036,-10.471978587345497,65.59827060020469,-8.644443654145402,-103.3436502953766,0.4015156993768666,0.33733530400584466
0.128906,-105.21162414550781,9.784214973449707,3.1401664667624427,-7.302502727534656,53.4958105985349,-8.597319617740546,-101.02652694006424,0.40149143217568467,0.3624108041131988
0.159684,-105.28645324707031,9.646926879882812,3.140317051676011,-7.249660969020852,36.31819219446548,-7.69503369913529,-104.40255057378107,0.4014810418899077,0.387571970698315
0.161831,-105.35994720458984,9.595016479492188,3.1406752613336635,-7.439915888351558,19.796044846927384,-5.538005317731902,-104.38731586167678,0.40141019216063145,0.412352606555447
0.163898,-105.40583038330078,9.62297248840332,3.1411180976850894,-6.825450726276054,3.363622919751394,-2.865990064419663,-98.51451200446488,0.4012411249353979,0.43651167206529196
0.165879,-105.42390441894531,9.718911170959473,3.1414380325250146,-7.48104387243879,-13.330439221978866,-0.9339645494191864,-60.183442382952,0.4010164408987334,0.46031066403566684
0.199919,-105.39032745361328,9.86156940460205,-3.1414757396641346,-3.4526640405360305,-27.33457586028923,0.7059755029668053,-105.03575631192602,0.40075150507152335,0.4838426292327193
0.202607,-105.25675201416016,10.025634765625,-3.1411353176206456,1.490231697289421,-31.97698201461332,2.7580871627986245,-104.39107268363011,0.40041046670933017,0.5068797816911574
0.205374,-105.15385437011719,10.16396713256836,-3.1410805711497014,-0.4925851320916802,-29.16295090675724,3.085231452814256,-16.524148325026395,0.4001195201832669,0.5302102423661113
0.208057,-105.14525604248047,10.231940269470215,-3.1414608735962255,-1.1063420889276179,-24.39572646044575,0.7938926841070045,-104.90391412467592,0.4000847856241192,0.5551322495977358
0.239982,-105.11813354492188,10.222051620483398,3.1410305185187495,-0.1258249844978212,-21.743664751020056,-3.3856417420882225,-104.15197006334868,0.40046359423840805,0.5826504427838637
0.243223,-105.05210876464844,10.149460792541504,3.1401300251608193,1.321909369157273,-22.759424871174968,-8.803628896715365,-103.84543617867351,0.4013666572945046,0.6134864250231774
0.246312,-104.99700164794922,10.0437650680542,3.1395106046311296,-1.4132103220618317,-24.885737891880805,-12.525385315076973,-91.6576246127979,0.4026438487455349,0.6467298664217924
0.249015,-104.9905014038086,9.961000442504883,3.139546968835612,-2.250870271400896,-25.371919294738777,-12.305859620058179,-81.70363661427079,0.40391425067440345,0.6800108963001138
0.279767,-104.85736846923828,9.958961486816406,3.1404192604109262,9.407557638222478,-24.02570096216031,-7.049614119741288,-67.7953860369462,0.4046548932862853,0.7100431719289397
0.28182,-104.61940002441406,10.121761322021484,-3.1406615440068215,8.376415078283054,-24.279469810582963,5.581305301975198,-104.27901415824753,0.4040766523573922,0.7318351938202557
0.283943,-104.55085754394531,10.483489036560059,-3.1386467542143013,4.144020484079776,-26.762719979577206,17.646939484961212,-103.30379238396043,0.4022479446589063,0.7457339693286658
0.285996,-104.46302795410156,10.89975643157959,-3.137715728922734,8.945117972919471,-27.0144073278503,23.204637091843907,-101.26268530510863,0.39992118741058574,0.7563885061298848
0.32008500000000006,-104.26341247558594,11.23330020904541,-3.138020925606735,10.584795383187535,-29.10972324255533,21.33707041991837,-103.35559670353155,0.3979346281507721,0.7690343754644622
0.323272,-104.08642578125,11.418291091918945,-3.1393457876000035,10.63266476398557,-27.62108351295105,13.399686241105394,-98.29219292873032,0.39693629958080673,0.7877646621500675
0.325976,-103.95635223388672,11.416755676269531,-3.1411988233218415,8.276115457868709,-23.103835452525566,2.345755686237536,-33.595569768442225,0.3972244552280027,0.8145154407328337
0.328782,-103.90605926513672,11.243016242980957,3.1401439703205525,4.928825014526696,-11.513865888622997,-8.624566096113371,-103.43150734626424,0.3987403477945273,0.8489984232414938
0.359856,-103.80938720703125,10.942887306213379,3.138895016705593,14.611931266887705,4.307045573623756,-16.045150841566503,-102.99230343497828,0.40102672384968746,0.8884177426243861
0.36195900000000003,-103.5491714477539,10.661263465881348,3.139118960893437,20.398583644938398,12.349795665667932,-14.676276771511104,-101.29413361579158,0.4029750986167609,0.9258569945245285
0.364037,-103.34427642822266,10.570076942443848,3.1404705129951465,17.413225779489007,9.115287867222108,-6.644411439682989,-102.41264541034552,0.4037318098918721,0.955931223877965
0.366142,-103.24225616455078,10.685019493103027,-3.1409066705528046,13.7568504931837,4.599632094646885,4.057827338735623,-101.61005050923603,0.4029867885589493,0.9766173345449457
0.400168,-103.1713638305664,10.936823844909668,-3.1391187811172654,11.279388909511043,2.4086986542035542,14.623791890381433,-101.84806337569407,0.4008406024286229,0.988452856073017
0.402849,-103.09132385253906,11.242746353149414,-3.138111280165893,11.48295415998681,1.1023614760236755,20.563503685090232,-89.28370089958767,0.39801104512076957,0.9958597810074958
0.404959,-102.9549560546875,11.486205101013184,-3.138385660356832,14.297079182943982,0.8629201233238872,18.917747406460858,-102.29592321788118,0.39556896243373096,1.0055234944573572
0.406872,-102.75409698486328,11.580002784729004,-3.139575566200134,18.121367839804883,3.0603213260243964,11.875368164597907,-101.8497487015352,0.39420699269347054,1.0218203171239282
