Time [Sec],Roll Angle [Deg],Pitch Angle [Deg],Phase Angle,Angular Velocity X [deg/s],Angular Velocity Y [deg/s],Angular Velocity Z [deg/s],EKF Roll Angle [Deg],Step Frequency [Hz],Phase Variable
0.0,-90.52996826171875,18.396360397338867,-3.116989850025692,-12.7533198267377,2.7052488193794058,127.64013000147543,-89.6336319422958,0.4,0.025132741228718346
0.005455,-90.72315216064453,20.91874122619629,-3.1177199150879162,-14.198485402274848,-26.836221352783006,124.11535623877698,-45.21199030511712,0.399539179784642,0.04737006365104798
0.037875,-90.34687805175781,20.803007125854492,-3.1174967237458704,-17.053619734782423,-54.22412391501712,124.75660171881447,-90.04195956659974,0.3987259145579752,0.0673639545686692
0.040863,-90.16212463378906,22.069833755493164,-3.117294701837851,-16.87433068416417,-72.99792679226725,125.54572079438272,-5.512407834901868,0.39763996380141325,0.08559341281014325
0.044196,-89.88802337646484,23.315021514892578,-3.117588699560662,-15.085545121672853,-83.79462537935984,123.6490182430052,-89.68814312850417,0.3963787486263165,0.10265341993382818
0.048225,-89.52043914794922,24.481374740600586,-3.118384638561457,-12.700776889000084,-96.71719302486223,119.0586120263797,-86.33921753163156,0.3950406026741898,0.11915081224303474
0.07773,-89.01834869384766,25.540912628173828,-3.1196135592528287,-9.558913776456313,-109.55841994753894,112.11969307496952,-88.24122078064347,0.39371773211464794,0.13566010448463914
0.079996,-88.39634704589844,26.47722816467285,-3.121144314831428,-5.235716512992771,-117.70802408027973,103.57990755570258,-87.57820003154721,0.39248650101172755,0.15266206600501558
0.082238,-87.66590881347656,27.28238868713379,-3.122952375689194,2.0417855877455238,-121.15292561082404,93.63884725650499,-86.80281540768517,0.39141775056848177,0.17060756308720418
0.084521,-86.84628295898438,27.960067749023438,-3.1247610956288896,10.33775085600276,-116.40177772227146,83.76048809388811,-85.48937639191193,0.39054393855208375,0.18971074285794673
0.117886,-86.01758575439453,28.54778480529785,-3.1262986723961173,17.977677735140738,-105.91025198729504,75.38141692579157,-85.20223177089228,0.3898494254805494,0.20988558789642295
0.120807,-85.20873260498047,29.077287673950195,-3.1276410001355566,25.323021970470656,-92.63439280697375,68.11779761142816,-64.77322697222031,0.3893178930857171,0.23104083318484084
0.123905,-84.51631164550781,29.558387756347656,-3.1288463400182462,22.55568374332807,-77.8973102763766,61.72644809558872,-83.8493017458978,0.38893033731628424,0.25306731312521025
0.127485,-84.12898254394531,29.972274780273438,-3.1306415693519694,11.137115215326032,-62.787401869934314,52.78891675528985,-80.44845059088246,0.3887940320883355,0.27664809592909206
0.157683,-84.03492736816406,30.267789840698242,-3.132889704603295,-0.6354242912347751,-48.45824555732702,41.9044229166059,-82.92027192002722,0.38900234178273896,0.3023855938396758
0.15994,-84.08435821533203,30.41771125793457,-3.135803958650937,-6.2602687941567785,-34.73367368438715,27.888384673666792,-83.26829541968652,0.38971439196288854,0.3313012750530438
0.162172,-84.1176986694336,30.353559494018555,-3.1397961284384084,-4.021320404508728,-24.85796463516824,8.65852238157209,-83.29717146033946,0.39121889273602506,0.36524080962123223
0.164398,-84.06256103515625,29.983867645263672,3.138142000293127,-1.623708321266868,-21.968642644543817,-16.619895892297443,-83.11730926275314,0.3939030620851757,0.4066869510250977
0.198191,-83.97093963623047,29.267797470092773,3.132485723489635,-4.24879814726871,-29.678667755133635,-43.816295318130024,-81.21363790098786,0.3979830132416546,0.45707169950696264
0.201255,-83.80382537841797,28.251617431640625,3.1270676663467025,-1.3739890279700913,-40.525025232586806,-69.7481637663102,-83.0785313826945,0.40352152047200357,0.5168771769734692
0.204193,-83.4369888305664,26.97709083557129,3.121487056294402,12.785154484685483,-43.04890990450075,-96.12951671848516,-80.8682669917624,0.41077040090633077,0.5877772408975402
0.208943,-82.8993148803711,25.477914810180664,3.1164286108028048,29.010948461873188,-37.14906421643002,-119.54892398613823,-79.58568411211745,0.41984823659508785,0.6706244301941184
0.237826,-82.37505340576172,23.89666175842285,3.1134039301523146,36.91174246352876,-25.714407177838016,-133.0787774111248,-77.00373502610881,0.4303945157005691,0.7632684988292884
0.240234,-81.90351867675781,22.366382598876953,3.112131272734521,41.706525015593954,-27.821809112279386,-138.29420057831982,-38.84572048022643,0.4422806504749712,0.864993771176373
0.242407,-81.25308227539062,20.8964900970459,3.112349802930197,49.687204909782,-45.18177649171522,-136.17770253945127,-80.3242229007174,0.4555054746349084,0.9758771048752656
0.244637,-80.4610824584961,19.594993591308594,3.11502147068708,51.426399883804436,-53.79859971463073,-122.52412706783912,-69.69187166038436,0.4692681163401021,1.0909705860809749
0.278266,-80.13558959960938,18.89527702331543,3.1243700612728453,22.87711073812158,-23.633142669802996,-79.08416492769304,-79.61003152540935,0.4793046330932078,1.1835168660165098
0.281575,-81.15495300292969,19.40479278564453,3.1415477001419427,-57.98537590225432,21.78340279161119,-0.20902617348017785,-80.37680765639689,0.4790546932007132,1.2120620456394533
0.28472,-83.51277923583984,21.15187644958496,-3.124272843101108,-123.42373128342149,62.67917752253546,82.88236482324542,-82.35846385320271,0.4668226834586937,1.2120620456394533
0.288172,-85.85940551757812,23.367326736450195,-3.1156637930259214,-125.61309378035573,85.7114086868972,127.58255150677222,-84.50934504069289,0.44878553834521373,1.2120620456394533
0.317889,-87.28990936279297,25.213886260986328,-3.114910855120512,-101.53882163546015,76.22509555244989,133.476512986873,-85.56620082213858,0.4311326549133486,1.2120620456394533
0.320212,-88.03629302978516,26.556114196777344,-3.116591663184167,-78.79122494438036,56.19623516992616,126.13397766683923,-87.21273435501644,0.4158096832698384,1.2120620456394533
0.322648,-88.5108413696289,27.677061080932617,-3.118130897803941,-64.99929716094042,33.090449698392554,119.00338311675098,-86.39808740468332,0.40262194544467916,1.2120620456394533
0.325151,-88.83306884765625,28.642087936401367,-3.1210937227421423,-59.61408915135722,-1.0658921078372157,104.34925323362364,-87.76633013803797,0.3925411582651724,1.2120620456394533
0.358653,-88.85652923583984,29.24575424194336,-3.1264744988130815,-48.92056057167767,-41.16299905201185,76.97396432323926,-87.07022079228615,0.3872455861975362,1.2120620456394533
0.361942,-88.4643783569336,29.323575973510742,-3.133990583657114,-36.93432989911399,-78.89546729149309,38.53286395736919,-87.65655274166225,0.38804932958858596,1.241443472079505
0.36493,-88.23841857910156,28.782424926757812,3.1394042465695753,-62.331158893755806,-98.02908111912491,-11.063922908180174,-85.95341181082995,0.3965683917333711,1.3193521766398875
0.369117,-88.51187133789062,27.84807777404785,3.133282263038775,-41.89552659521196,-60.99510559020961,-42.14592474527922,-87.54636294645542,0.4095798144077414,1.4260224833353037
0.398002,-88.64495086669922,27.383941650390625,3.138475905863495,-24.948380971853577,-23.915613680665338,-15.829955486481495,-81.0933607450626,0.416585802897694,1.495777065997684
0.400399,-88.86734771728516,27.798683166503906,-3.1386463569015297,-40.79273449710546,-38.66257949499149,15.001772851502647,-87.84125089448338,0.4169258934934018,1.5240887761912092
0.402749,-88.64787292480469,28.202383041381836,-3.139240150711299,-24.188097247413825,-99.81520290783993,11.948734641567599,-87.70031407451002,0.41713657752020145,1.5516087694546588
0.405948,-87.66327667236328,28.035114288330078,3.140342622308104,-20.710820620203656,-132.0842199057009,-6.278580104434759,-84.83070992775032,0.4196536810554912,1.593633661553862
0.438344,-86.91590118408203,27.530017852783203,3.136812715184665,-15.77036037842584,-137.1016905303706,-23.80386495565476,-85.46767577313676,0.4239259316735785,1.646844622295134
0.441557,-86.39972686767578,26.958532333374023,3.1353320127265114,-22.901135928527097,-135.56142823101936,-30.992703943890294,-85.60690840268819,0.42806813177805997,1.6995068849832484
0.444876,-86.14305877685547,26.402816772460938,3.1332919342487435,-22.24242053214002,-116.00472516544029,-40.97025111363409,-85.08202665592147,0.4327406064692127,1.7557612232714646
0.448388,-86.2535400390625,25.5302734375,3.126722954805735,-33.85382579097903,-73.42516195504072,-73.49092984655877,-85.44639279669168,0.44165849122096007,1.838983839918638
0.478053,-86.90147399902344,24.07921028137207,3.118736516026519,-39.497344724782934,-27.420161545684078,-113.82253436713457,-85.55404726962934,0.4559300419888125,1.9564048594421823
