Time [Sec],Roll Angle [Deg],Pitch Angle [Deg],Phase Angle,Angular Velocity [deg/s]
0.0,0,0,0.0,0
0.0,88.38069915771484,3.205012798309326,4.0835403050321245e-05,-0.003609061473980546
0.000837,88.37979888916016,3.20367431640625,2.8316991589632905e-05,-0.002502650022506714
0.039682,88.38082885742188,3.2048866748809814,1.946928680464584e-05,-0.00172071170527488
0.040802,88.38146209716797,3.205915927886963,2.390333988289028e-05,-0.0021126121282577515
0.041779,88.38118743896484,3.206033945083618,2.70183133341676e-05,-0.0023879106156527996
0.042772,88.38096618652344,3.2057485580444336,2.6550517149784027e-05,-0.0023465603590011597
0.079524,88.38131713867188,3.2056665420532227,1.8246823408505948e-05,-0.0016126782866194844
0.080477,88.3820571899414,3.2046570777893066,1.9641830598540248e-05,-0.0017359853954985738
0.081353,88.3811264038086,3.20491886138916,4.289636019786953e-05,-0.003791228635236621
0.082176,88.37928771972656,3.205843925476074,3.817209341724803e-05,-0.003373622428625822
0.120256,88.3800048828125,3.2061519622802734,1.6055251330422726e-05,-0.001418963191099465
0.122024,88.38145446777344,3.206324815750122,1.9346913597348453e-05,-0.0017099083634093404
0.123664,88.38136291503906,3.2056682109832764,2.4813813215273293e-05,-0.0021930786315351725
0.125286,88.38099670410156,3.2060458660125732,2.754525370141618e-05,-0.002434476977214217
0.159542,88.38187408447266,3.205763578414917,5.222377017419737e-06,-0.00046156346797943115
0.160415,88.38313293457031,3.2059996128082275,2.3890245836389172e-05,-0.0021114947739988565
0.161265,88.38215637207031,3.2072155475616455,2.6006427179221515e-05,-0.002298504114151001
0.162115,88.38152313232422,3.206099033355713,3.527542377440647e-05,-0.0031176956836134195
0.200004,88.38064575195312,3.2067863941192627,3.338321292159839e-05,-0.002950429916381836
0.20167,88.38082885742188,3.2067246437072754,2.341456611315358e-05,-0.0020693987607955933
0.203329,88.38191986083984,3.2060887813568115,1.3850462971827973e-05,-0.0012241305084899068
0.204898,88.38203430175781,3.20642352104187,3.3445918503029916e-05,-0.002956018317490816
0.239583,88.38150024414062,3.2059555053710938,1.8065538798691438e-05,-0.0015966594219207764
0.240461,88.3829116821289,3.2066683769226074,1.3125339797500173e-05,-0.0011600557481870055
0.241348,88.3831787109375,3.2062766551971436,2.6250592377280493e-05,-0.00232011079788208
0.242251,88.38288116455078,3.205233573913574,1.8545764279052683e-05,-0.0016391280805692077
0.280115,88.3820571899414,3.2059364318847656,4.882638417246637e-05,-0.004315376281738281
0.281823,88.3805160522461,3.206639051437378,2.510066967844039e-05,-0.002218410139903426
0.283416,88.3817367553711,3.2065553665161133,2.622151565720586e-05,-0.0023175030946731567
0.285041,88.38175964355469,3.206948757171631,2.4683036861509197e-05,-0.0021815302316099405
0.319534,88.38154602050781,3.20776629447937,3.153248910547815e-05,-0.0027868901379406452
0.320394,88.38134765625,3.2077934741973877,2.42237122524337e-05,-0.002140924334526062
0.321229,88.3812484741211,3.2057175636291504,3.384242544615821e-05,-0.0029910358134657145
0.322012,88.38145446777344,3.205941677093506,1.2497516549181996e-05,-0.0011045486899092793
0.359588,88.38346099853516,3.206827402114868,8.606862305830575e-06,-0.0007607042789459229
0.361151,88.38367462158203,3.2062458992004395,2.4766800216572767e-05,-0.0021889808122068644
0.363034,88.38288879394531,3.2054078578948975,2.564372901639448e-05,-0.002266466850414872
0.364893,88.38249206542969,3.2069742679595947,3.2543737692955e-05,-0.002876296639442444
0.399499,88.3826675415039,3.2076432704925537,1.3736541998323113e-05,-0.0012140722246840596
0.400331,88.38343048095703,3.2074174880981445,3.0330559510571852e-05,-0.0026807188987731934
0.401117,88.38259887695312,3.2087583541870117,2.6292914184163108e-05,-0.002323836088180542
0.401897,88.38333129882812,3.208477735519409,1.5789106855284306e-05,-0.0013954938622191548
0.43948,88.3850326538086,3.2079203128814697,3.915589080346742e-06,-0.0003460794687271118
0.440355,88.3858413696289,3.207679033279419,2.1933843219488406e-05,-0.001938641187734902
0.441197,88.38504791259766,3.2080483436584473,2.3552540847008286e-05,-0.0020816924516111612
0.442006,88.38583374023438,3.2083685398101807,1.070982078653019e-05,-0.0009465964394621551
0.480133,88.3866958618164,3.2073748111724854,2.2565847029815823e-05,-0.0019945206586271524
0.482161,88.38636016845703,3.2071897983551025,2.0235155653240838e-05,-0.0017885117558762431
0.484221,88.38619232177734,3.207836151123047,3.16151219838983e-05,-0.0027943402528762817
0.485903,88.3858642578125,3.2060937881469727,2.1529216425662446e-05,-0.0019028784008696675
0.519524,88.38580322265625,3.2067368030548096,3.7035504540772294e-05,-0.0032734128180891275
0.520363,88.3860092163086,3.207515001296997,6.221040084612053e-06,-0.0005498529062606394
0.521248,88.38837432861328,3.2081854343414307,1.0288041298580304e-05,-0.0009093432454392314
0.52208,88.38904571533203,3.2079579830169678,8.597891167849363e-06,-0.0007599593955092132
0.55953,88.38837432861328,3.207167863845825,4.2854902603757815e-05,-0.0037878751754760742
0.561115,88.38603210449219,3.2087550163269043,3.795001920654161e-05,-0.003354251617565751
0.563076,88.38655090332031,3.2096495628356934,1.9847354415200673e-05,-0.0017542392015457153
0.565014,88.38761138916016,3.209796190261841,2.326525416923023e-05,-0.0020563602447509766
0.599568,88.388427734375,3.2098276615142822,7.0469480029635666e-06,-0.0006228686543181539
0.600409,88.390380859375,3.2096526622772217,2.5371824110528835e-06,-0.0002242625196231529
0.601196,88.38970184326172,3.2098546028137207,4.343166458225256e-05,-0.003838911885395646
0.602034,88.38751983642578,3.212226629257202,2.971380647972841e-05,-0.0026263296604156494
0.639448,88.38765716552734,3.2104272842407227,3.724546623885133e-05,-0.0032920395024120808
0.640319,88.38751983642578,3.209606647491455,2.0129527322904164e-05,-0.0017791989957913756
0.641148,88.38849639892578,3.2105627059936523,2.4255467859048274e-05,-0.002143904333934188
0.641944,88.38825988769531,3.211212635040283,2.5140622727706342e-05,-0.0022221358958631754
0.680308,88.38796997070312,3.2114927768707275,2.9207893447335883e-05,-0.00258162640966475
0.682205,88.38760375976562,3.2104549407958984,2.9612624979043914e-05,-0.002617388963699341
0.683837,88.38796997070312,3.2108137607574463,2.1372758201014784e-05,-0.0018890947103500366
0.685703,88.3893051147461,3.211306571960449,7.52734626249928e-06,-0.0006653369055129588
0.71952,88.39013671875,3.211313486099243,2.4078007186163145e-05,-0.0021282583475112915
0.720419,88.38902282714844,3.212301731109619,3.0842830763180335e-05,-0.0027261676732450724
0.72131,88.38819885253906,3.212827205657959,3.502830475084939e-05,-0.0030960887670516968
0.72212,88.3880386352539,3.212101936340332,2.559587321457031e-05,-0.002262369031086564
0.760007,88.38897705078125,3.211257219314575,1.704406548456739e-05,-0.0015065075131133199
0.761899,88.3908920288086,3.2113051414489746,-2.2864008791454882e-06,0.00020209701324347407
0.763914,88.39144134521484,3.2113184928894043,3.460134889124732e-05,-0.003058463102206588
0.765691,88.3891372680664,3.210822582244873,3.315241749266297e-05,-0.0029303135816007853
0.799605,88.38916778564453,3.2106704711914062,2.664499302304124e-05,-0.0023551287595182657
0.800469,88.38996887207031,3.21018648147583,1.5800565007708393e-05,-0.0013966114493086934
0.801349,88.3912582397461,3.2112417221069336,1.2015670838847757e-05,-0.0010620802640914917
0.802204,88.39132690429688,3.2106738090515137,2.6155452572868636e-05,-0.002311915159225464
0.840175,88.39041900634766,3.209637403488159,2.7116654756017395e-05,-0.0023968524765223265
0.842051,88.39073181152344,3.2093162536621094,1.85019713783038e-05,-0.0016354027902707458
0.843681,88.39140319824219,3.210343599319458,2.119912931818083e-05,-0.0018738207872956991
0.845473,88.39134979248047,3.2111148834228516,2.4237831960778713e-05,-0.0021424146834760904
0.879519,88.3907470703125,3.210702657699585,3.6165234205283046e-05,-0.0031966720707714558
0.880417,88.39102172851562,3.2119853496551514,7.95708492546506e-06,-0.0007033348665572703
0.881282,88.39282989501953,3.212195634841919,1.5526112965139284e-05,-0.001372397062368691
0.884843,88.39198303222656,3.2112090587615967,3.632066017381072e-05,-0.0032104551792144775
0.919962,88.39095306396484,3.211874485015869,2.506399199506506e-05,-0.0022154301404953003
0.921401,88.39100646972656,3.212298631668091,3.7045965439612215e-05,-0.0032745301723480225
0.922808,88.39089965820312,3.211503028869629,1.7326069170768078e-05,-0.0015314668416976929
0.923919,88.3927993774414,3.211005210876465,8.20136562925089e-06,-0.0007249416667036712
0.959482,88.39407348632812,3.2122628688812256,1.0890041509951622e-05,-0.0009626151295378804
0.960387,88.3936538696289,3.2126712799072266,3.084121487274998e-05,-0.0027261676732450724
0.96154,88.39254760742188,3.213172435760498,2.7031704159761732e-05,-0.0023894011974334717
0.962636,88.39341735839844,3.2125513553619385,1.2276672814758333e-05,-0.0010851770639419556
0.999447,88.39370727539062,3.2125017642974854,3.21982398382077e-05,-0.0028461217880249023
1.000323,88.39281463623047,3.2132372856140137,2.151488147230602e-05,-0.0019017609301954508
1.001112,88.39337921142578,3.213027000427246,2.6104271959374586e-05,-0.0023074448108673096
1.001874,88.39230346679688,3.2128405570983887,4.3502030073140665e-05,-0.0038452446460723877
1.039548,88.3919677734375,3.212712287902832,1.5323963858977772e-05,-0.0013545153196901083
1.04038,88.39419555664062,3.2138171195983887,9.267477519698507e-06,-0.0008191912202164531
1.041159,88.39318084716797,3.2144174575805664,5.094852864699983e-05,-0.004503502510488033
