Time [Sec],Roll Angle [Deg],Pitch Angle [Deg],Phase Angle,Angular Velocity X [deg/s],Angular Velocity Y [deg/s],Angular Velocity Z [deg/s],EKF Roll Angle [Deg],Step Frequency [Hz],Phase Variable
0.0,-88.96967315673828,-12.675089836120605,-3.1092256317694513,10.2223309043133,75.99984274381204,165.0513437084397,-88.08878530370127,0.4,0.025132741228718346
0.009811,-88.63202667236328,-9.42057991027832,-3.1106750644771943,-7.497723194391961,88.60118659264873,157.05701709629,-87.75082662883563,0.3994178581024252,0.04660777703990128
0.019824,-89.1391830444336,-9.716745376586914,-3.1120406259244646,-20.495022500924392,96.03232312659588,150.9749931875821,-88.29474283470005,0.3984581437740626,0.0656738782473865
0.029391,-89.37086486816406,-8.273879051208496,-3.11242100984148,-26.669682557797877,94.23227458216321,149.4179286228726,-82.94766906030816,0.3972145131273012,0.08289577998496946
0.039426,-89.59170532226562,-6.80364990234375,-3.1127636198018607,-26.49608817740013,83.28387749360463,148.02697425877787,-88.9078305757542,0.3957687114412368,0.0987692640007937
0.049318,-89.78589630126953,-5.3546366691589355,-3.1132149297283096,-23.90967483118201,57.5429162478209,146.02422619034672,-87.9298355607885,0.3941912724002509,0.11372480372318947
0.059353,-89.9693832397461,-3.932467460632324,-3.113642547244821,-19.608672267426424,26.122195084497168,144.11658167591884,-88.67477968326003,0.3925266752096922,0.12803359922273516
0.069321,-90.07134246826172,-2.553438425064087,-3.1145691822373496,-10.571753990741042,-8.780534319584259,139.49419651359935,-79.67488660220312,0.3908641909214794,0.14225108075315562
0.079314,-90.03977966308594,-1.2522269487380981,-3.1155985321300443,-1.5975142256347517,-38.844180564643786,134.13126858108873,-88.69604708768273,0.38924896928316993,0.15666106530249596
0.089338,-89.9578628540039,-0.008053433150053024,-3.116567481214844,1.9124087848173768,-67.8017579283425,129.01182323211074,-86.89231228670057,0.3876970530942512,0.17136732235265534
0.099347,-89.88976287841797,1.1981234550476074,-3.1173611764008435,3.5935904799072573,-93.54052668340266,124.82390640289577,-81.59292510234837,0.3861994471905108,0.18631731121871478
0.109808,-89.78659057617188,2.3825433254241943,-3.117936156147083,5.72190047717168,-111.84342558342085,121.72101976485068,-88.62010914045102,0.38473507281914027,0.20138200260659211
0.119365,-89.61608123779297,3.540842056274414,-3.1185557509171873,8.493930190500416,-125.25106643358836,118.3067448025447,-88.65995116126928,0.383320221873431,0.21666584949960174
0.129407,-89.38990783691406,4.615920066833496,-3.1199539234605003,9.987929057282216,-135.34859953648177,110.84361566252521,-88.34303171174223,0.38209666895554023,0.2330627596435535
0.139828,-89.1435317993164,5.550421714782715,-3.1217319265217656,10.593266525305644,-139.2692920446092,101.45295932740393,-88.0691791211745,0.3811364692530245,0.25103748874378584
0.149262,-88.87171936035156,6.360695838928223,-3.123604922754455,12.420096241473933,-137.06617354668654,91.60294544984261,-87.74298281702417,0.3804574980125009,0.270718897257739
0.159901,-88.55387115478516,7.062852382659912,-3.125443560785435,15.367669500434815,-128.95257817125005,81.94379437844813,-80.7169778268758,0.3800491322244312,0.29205790895336914
0.169837,-88.22618865966797,7.674661159515381,-3.1271002299145585,15.941118522770745,-116.38602730604542,73.26416073592517,-79.75009328494805,0.3798604113230839,0.31475133179485504
0.179895,-87.9678955078125,8.225622177124023,-3.1284290829329353,12.901155002454395,-100.84777724618412,66.35071839011914,-86.63231438023242,0.37979363572553654,0.3381991018935114
0.188889,-87.81239318847656,8.736433982849121,-3.1295743378534104,8.11744162571285,-84.97837229460393,60.4704172883584,-82.95955701274696,0.37978017618290155,0.36197767101049594
0.199176,-87.74736785888672,9.199858665466309,-3.130725577475128,2.64803787423091,-70.1813138729049,54.63696103902019,-86.37013444245181,0.3798036814040471,0.3859876509001445
0.210075,-87.76957702636719,9.604487419128418,-3.1319223960651383,-3.3717459356652433,-55.17778224769098,48.63156160751609,-81.25610613211944,0.3798631036739301,0.4102247811392988
0.219338,-87.88524627685547,9.94726276397705,-3.133170599967499,-9.527984118573558,-39.2868485398469,42.409863745376015,-43.619616436682946,0.3799639778977477,0.4347260952976993
0.22931700000000002,-88.07686614990234,10.227522850036621,-3.134414629423135,-14.2765416578834,-24.861077493882476,36.22403803675685,-56.3937901538178,0.38009936679514034,0.4594506096603984
0.239451,-88.39652252197266,10.441326141357422,-3.1357681509931177,-25.7632225398361,-8.982442395412653,29.499969515878593,-86.66039355083252,0.38030791549645276,0.48464330736347094
0.249326,-88.99344635009766,10.554591178894043,-3.1376855179501386,-43.41196177964361,6.79792591769455,19.922386271099693,-87.30428431712082,0.38080462282945965,0.5116596626487021
0.259636,-89.68955993652344,10.521673202514648,-3.1399169903434414,-45.76440528829565,13.6840782426718,8.610962066833999,-88.93631649688767,0.3817193353322095,0.5413336309169547
0.269375,-90.18612670898438,10.36357307434082,3.141287702051358,-41.80261553193228,18.78182322688302,-1.575771385629074,-89.0577427977252,0.38295859794707887,0.5731042807626959
0.278999,-90.60142517089844,10.116219520568848,3.1394117909530794,-39.337952015216935,24.86436281487325,-11.32104879457989,-89.70037823251245,0.38450762085437773,0.6068990770931124
0.289996,-91.01776885986328,9.764902114868164,3.137399506493029,-37.245847996969104,29.278422084865472,-21.86711359007887,-89.89712508532519,0.38648541916410933,0.6434852767118906
0.299044,-91.37727355957031,9.293976783752441,3.135321412124531,-31.811534342348104,29.59958099473406,-32.83371654787012,-86.98828439389759,0.38900269479323074,0.6835853810302182
0.309144,-91.67516326904297,8.71815299987793,3.133428990984083,-30.014723307582017,30.423049091638305,-42.88140634529536,-88.32552810111004,0.392076819271438,0.7273424349479122
0.319141,-92.01686096191406,8.067277908325195,3.131887874992025,-30.625154389178984,34.15137615198147,-51.16692441233024,-89.85735677959775,0.3956844601180514,0.7746448240102546
0.329507,-92.34698486328125,7.361539363861084,3.1305777146057503,-26.783471801822998,37.011203678222486,-58.283418036876995,-91.40873210123038,0.3999141185510263,0.8260821395916409
0.339635,-92.57052612304688,6.619661808013916,3.1296357432882296,-21.605454165617555,34.49664221452561,-63.42128440604652,-91.26575720417162,0.40481006012219495,0.881971592874552
0.349611,-92.68354034423828,5.867230415344238,3.128891360752137,-14.143346992652628,25.113331747856677,-67.45226397870212,-13.419018561021305,0.4105570448620279,0.943515929172038
0.359983,-92.66828155517578,5.113964080810547,3.12837538673124,-5.9672331881957215,12.32410134778399,-70.18118409931067,-90.88578045708114,0.41734367412415696,1.011953638357484
0.369829,-92.61137390136719,4.389660835266113,3.128349151801834,-4.080615411127724,-1.5892028459101981,-70.2773190118786,-89.66814288373332,0.42516348751227895,1.087309451355631
0.379007,-92.66161346435547,3.7404191493988037,3.1289365877035604,-9.35694679024633,-14.231831239576497,-67.19615237539415,-91.28934895547805,0.4337891954577514,1.1682201825615097
0.389017,-92.89759826660156,3.2025904655456543,3.130109738544637,-21.00966017941193,-24.205886475107125,-61.122112957826,-91.9868639570156,0.44273238696443473,1.2516676910287297
0.399264,-93.2493667602539,2.794478416442871,3.131633742905516,-26.28074255815338,-33.89715309597901,-53.21017891763414,-91.99086749790054,0.45134055618604424,1.3335721096915372
0.409296,-93.52458953857422,2.527674674987793,3.1335347704363907,-25.338377943272135,-45.222600532384384,-43.179619234647284,-74.28295529645092,0.4587260877908772,1.4083353368683582
0.41972,-93.72129821777344,2.4227957725524902,3.135772207954405,-24.17971148266034,-54.53200493713919,-31.255184698599297,-92.02693874876476,0.46410342021675,1.4709447231066988
0.42898,-93.92374420166016,2.4598233699798584,3.1378155399165304,-25.068015150260937,-55.236088157540784,-20.32638513031678,-92.61898799755166,0.46741132550036313,1.5208893828914152
0.439723,-94.21697998046875,2.585336446762085,3.139628504662036,-31.503035188106136,-45.86087146503832,-10.602951733548721,-93.28396884714604,0.4688508819985928,1.5593027028578785
0.448993,-94.63546752929688,2.7659904956817627,3.141015294769977,-37.47996297605504,-30.182674244178045,-3.130562778005396,-93.02546775299822,0.46889290601077444,1.5890255172440844
0.460077,-95.07889556884766,2.9345290660858154,3.141534559739816,-39.08774169535186,-7.547821778180358,-0.31647318665454427,-62.66402009574174,0.4683952471324991,1.6153600444689935
0.469049,-95.55355072021484,2.9106969833374023,3.139161127039611,-45.606590352427915,4.841860484693155,-13.31218468764836,-93.97443635068083,0.46992400927479533,1.6543956816469985
0.479015,-96.26172637939453,2.5384976863861084,3.1355488304752552,-64.92549013676926,1.39179949328284,-33.33445137630209,-95.44239049160124,0.47442490325218695,1.7122018288605816
0.489105,-96.91494750976562,2.187124252319336,3.1372080487255873,-47.22450165735844,9.240671357363325,-24.347066485251286,-93.0187126532259,0.47710484754550586,1.7588494112831654
0.499121,-96.81707763671875,2.3181779384613037,3.141474030756776,-7.540007187996217,33.547751353892416,-0.6580257607243175,-95.00555811246369,0.4759128963204324,1.7813375425397298
0.510174,-96.28158569335938,2.738060474395752,-3.13879436919858,15.62519836799556,40.978167302882134,15.436855901632459,-95.36786802665854,0.4723545496135395,1.7888822799697082
0.519171,-95.79946899414062,3.3135297298431396,-3.135792788075842,24.445223133813542,5.122492467121469,31.835269249713896,-94.558320354904,0.46652390967337165,1.7888822799697082
0.529105,-95.79634857177734,4.250225067138672,-3.1308814277875436,-13.616210067983967,-30.21191428401487,58.79323701690509,-94.49283159068091,0.4569125480722876,1.7888822799697082
0.539219,-96.18165588378906,5.393137454986572,-3.1295074637031357,-7.36961872764014,-41.31804434617114,66.6023425591424,-74.1817563998566,0.44676056315523527,1.7888822799697082
0.549025,-95.7780532836914,6.126209259033203,-3.1329771227771,27.81764440443297,-42.05834464464672,47.28043066137709,-95.25897981160146,0.44032155435138615,1.7888822799697082
0.559955,-95.12713623046875,6.145203590393066,-3.1400288434665082,27.022683809577064,-13.26298427373582,8.523371720917755,-90.25729632807852,0.4403555455558894,1.8167620722137674
