Time [Sec],Roll Angle [Deg],Pitch Angle [Deg],Phase Angle,Angular Velocity X [deg/s],Angular Velocity Y [deg/s],Angular Velocity Z [deg/s],EKF Roll Angle [Deg],Step Frequency [Hz],Phase Variable
0.0,-97.25437927246094,7.753897190093994,3.1305473229691394,-22.413970978428647,12.505945742925471,-61.55001747913813,-96.29146462619896,0.4,0.025132741228718346
0.00228,-97.70148468017578,6.523224353790283,3.131087642495683,-20.924349409131178,15.918362040003554,-58.80798339532315,-93.29090173645581,0.40021804563762325,0.051635503604045535
0.040803,-97.63485717773438,6.596859931945801,3.131354833430776,-19.535425318767206,19.584484860028116,-57.27303498314618,-96.67471805583031,0.40062252229368805,0.07932334682671349
0.04435,-97.80762481689453,6.018284320831299,3.131485091025655,-16.849391955957163,20.585619837622737,-56.64434680589777,-73.17108966785955,0.40119427972001054,0.10808766014506291
0.046586,-97.93885803222656,5.46619987487793,3.1320193705694845,-14.714493387464618,18.07007994932726,-53.72195816195402,-97.02938727599249,0.401873364132007,0.1375622533814665
0.048586,-98.06001281738281,4.97168493270874,3.1325481998654117,-13.692787587637213,16.89362767611675,-50.81696942492088,-97.05330573946532,0.40262339417318965,0.16752527928477895
0.080009,-98.17721557617188,4.498147964477539,3.1329322699499764,-12.234235695100486,15.21290082893691,-48.71708923630299,-97.26489718614525,0.40343409455937146,0.197916633985719
0.083936,-98.29471588134766,4.042037487030029,3.1333351616032297,-12.95778410086297,13.160182242764312,-46.50619798310488,-96.92319361281463,0.40428240014924316,0.22859520695750662
0.087409,-98.43450927734375,3.6075186729431152,3.1336344134757326,-13.250476489818235,10.369526603568952,-44.88448226280666,-94.52968814060475,0.40517406046307697,0.25959948630607305
0.089545,-98.56022644042969,3.1871633529663086,3.1338966576937777,-12.529439032349377,7.077216194837779,-43.46080104730378,-79.50051142213373,0.40611101721667253,0.29094439624924606
0.119604,-98.67925262451172,2.763929605484009,3.133797791922093,-13.058758202457854,4.193160280063433,-44.07229763841127,-83.44751486892568,0.40718542158777377,0.32321178577231446
0.121811,-98.81001281738281,2.3195817470550537,3.1337256329641323,-13.051570282130061,1.5110024092771355,-44.539243521019195,-98.23449732356092,0.40840862658309063,0.3564816240087382
0.123884,-98.92598724365234,1.882444977760315,3.133753436469748,-12.148337528551114,-1.623647276451161,-44.433918588923014,-97.79696579505936,0.40976914245784063,0.39069106818187455
0.126154,-99.01176452636719,1.463559627532959,3.1338843413348867,-10.045889188805297,-4.669235991157546,-43.729784142102645,-98.08589497280718,0.41124844767744584,0.42573237155479887
0.160184,-99.06513977050781,1.0535852909088135,3.1339732431684904,-7.870894848563839,-3.537321460533988,-43.248720258480304,-97.99034556222666,0.4128752014045393,0.46179306871174575
0.16412,-99.11189270019531,0.6300327181816101,3.1339945110009158,-7.006830241667151,0.28293055452743476,-43.148350628626964,-82.25464235200909,0.4146927831576029,0.4991549856688306
0.167434,-99.16383361816406,0.19878621399402618,3.1340269840735497,-6.112329884942064,1.189426964590886,-42.98645123963557,-97.11669966851966,0.41671582317143485,0.5379220369808686
0.169544,-99.19854736328125,-0.23561489582061768,3.133886325255013,-4.453977883709539,1.4030096479798293,-43.801002524578365,-98.37523474551345,0.4190408627218011,0.5787137186965412
0.200483,-99.21717071533203,-0.6852926015853882,3.133845339103528,-3.596530449458125,4.120140008307295,-44.04223456077946,-97.69148073423013,0.42164148497448406,0.6213830241417384
